Code,Title,Details,Discussion,Type,Enforcement,Category
§164.308(a)(3)(ii)(A),Authorization and/or Supervision,Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,"§164.308(a)(3)(i)  Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those  workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Administrative,Addressable,Unknown
§164.308(a)(3)(ii)(B),Workforce Clearance Procedures,Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,"§164.308(a)(3)(i)  Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those  workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Administrative,Addressable,Unknown
§164.308(a)(3)(ii)(C),Termination Procedures,Implement procedures for terminating access to electronic protected health information when the employment of a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.,"§164.308(a)(3)(i)  Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those  workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Administrative,Addressable,Unknown
§164.308(a)(4)(ii)(B),Access Authorization,"Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process, or other mechanism.",§164.308(a)(4)(i)  Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Administrative,Addressable,Unknown
§164.308(a)(4)(ii)(C),Access Establishment and Modification,"Implement policies and procedures that, based upon the entity’s access authorization policies, establish, document, review, and modify a user’s right of access to a workstation, transaction, program, or process.",§164.308(a)(4)(i)  Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Administrative,Addressable,Unknown
§164.308(a)(5)(ii)(A) ,Security Reminders,Periodic security updates.,§164.308(a)(5)(i)  Implement a security awareness and training program for all members of its workforce (including management).,Administrative,Addressable,Unknown
§164.308(a)(5)(ii)(B),Protection from Malicious Software," Procedures for guarding against, detecting, and reporting malicious software.",§164.308(a)(5)(i)  Implement a security awareness and training program for all members of its workforce (including management).,Administrative,Addressable,Unknown
§164.308(a)(5)(ii)(C),Log-in monitoring, Procedures for monitoring log-in attempts and reporting discrepancies.,§164.308(a)(5)(i)  Implement a security awareness and training program for all members of its workforce (including management).,Administrative,Addressable,Unknown
§164.308(a)(5)(ii)(D),Password Management," Procedures for creating, changing, and safeguarding passwords.",§164.308(a)(5)(i)  Implement a security awareness and training program for all members of its workforce (including management).,Administrative,Addressable,Unknown
§164.308(a)(7)(ii)(D),Testing and Revision Procedure,Implement procedures for periodic testing and revision of contingency plans.,"§164.308(a)(7)(i)  Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Administrative,Addressable,Unknown
§164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of other contingency plan components.,"§164.308(a)(7)(i)  Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Administrative,Addressable,Unknown
§164.310(a)(2)(i),Contingency Operations,Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,"§164.310(a)(1)  Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Physical,Addressable,Unknown
